Label,Ticker,Sector,Universe,CSV_Path,Resolved
LOTUSDEV,LOTUSDEV.NS,Realty,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Realty\lotusdev.csv,Y
STARCEMENT,STARCEMENT.NS,Construction Materials,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Construction_Materials\starcement.csv,Y
SWSOLAR,SWSOLAR.NS,Construction,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Construction\swsolar.csv,Y
STLTECH,STLTECH.NS,Telecommunication,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Telecommunication\stltech.csv,Y
STAR,STAR.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\star.csv,Y
STYRENIX,STYRENIX.NS,Chemicals,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Chemicals\styrenix.csv,Y
SUBROS,SUBROS.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\subros.csv,Y
SUDARSCHEM,SUDARSCHEM.NS,Chemicals,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Chemicals\sudarschem.csv,Y
SUDEEPPHRM,SUDEEPPHRM.NS,Chemicals,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Chemicals\sudeepphrm.csv,Y
SPARC,SPARC.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\sparc.csv,Y
SUNTECK,SUNTECK.NS,Realty,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Realty\sunteck.csv,Y
SUPRIYA,SUPRIYA.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\supriya.csv,Y
SURYAROSNI,SURYAROSNI.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\suryarosni.csv,Y
TARC,TARC.NS,Realty,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Realty\tarc.csv,Y
TDPOWERSYS,TDPOWERSYS.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\tdpowersys.csv,Y
TSFINV,TSFINV.NS,Financial Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Financial_Services\tsfinv.csv,Y
TVSSCS,TVSSCS.NS,Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Services\tvsscs.csv,Y
TMB,TMB.NS,Financial Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Financial_Services\tmb.csv,Y
TANLA,TANLA.NS,Information Technology,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Information_Technology\tanla.csv,Y
TEXRAIL,TEXRAIL.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\texrail.csv,Y
THANGAMAYL,THANGAMAYL.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\thangamayl.csv,Y
ANUP,ANUP.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\anup.csv,Y
THOMASCOOK,THOMASCOOK.NS,Consumer Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Services\thomascook.csv,Y
THYROCARE,THYROCARE.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\thyrocare.csv,Y
TI,TI.NS,Fast Moving Consumer Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Fast_Moving_Consumer_Goods\ti.csv,Y
TIMETECHNO,TIMETECHNO.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\timetechno.csv,Y
TIPSMUSIC,TIPSMUSIC.NS,Media Entertainment & Publication,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Media_Entertainment___Publication\tipsmusic.csv,Y
TRANSRAILL,TRANSRAILL.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\transraill.csv,Y
TRIVENI,TRIVENI.NS,Fast Moving Consumer Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Fast_Moving_Consumer_Goods\triveni.csv,Y
UJJIVANSFB,UJJIVANSFB.NS,Financial Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Financial_Services\ujjivansfb.csv,Y
VGUARD,VGUARD.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\vguard.csv,Y
VMART,VMART.NS,Consumer Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Services\vmart.csv,Y
VIPIND,VIPIND.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\vipind.csv,Y
V2RETAIL,V2RETAIL.NS,Consumer Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Services\v2retail.csv,Y
WABAG,WABAG.NS,Utilities,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Utilities\wabag.csv,Y
VAIBHAVGBL,VAIBHAVGBL.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\vaibhavgbl.csv,Y
